"date","close","volume","open","high","low"
"2015/11/12","115.7200","32461350.0000","116.2600","116.8200","115.6500"
"2015/11/11","116.1100","45179400.0000","116.3700","117.4200","115.2100"
"2015/11/10","116.7700","59029400.0000","116.9000","118.0700","116.0610"
"2015/11/09","120.5700","33829290.0000","120.9600","121.8100","120.0500"
"2015/11/06","121.0600","33009110.0000","121.1100","121.8100","120.6200"
"2015/11/05","120.9200","39483400.0000","121.8500","122.6900","120.1800"
"2015/11/04","122.0000","44829060.0000","123.1300","123.8200","121.6200"
"2015/11/03","122.5700","45479260.0000","120.7900","123.4900","120.7000"
"2015/11/02","121.1800","32152870.0000","119.8700","121.3600","119.6100"
"2015/10/30","119.5000","49305220.0000","120.9900","121.2200","119.4500"
"2015/10/29","120.5300","51106100.0000","118.7000","120.6900","118.2700"
"2015/10/28","119.2700","85436210.0000","116.9300","119.3000","116.0600"
"2015/10/27","114.5500","67673450.0000","115.4000","116.5400","113.9900"
"2015/10/26","115.2800","66139770.0000","118.0800","118.1300","114.9200"
"2015/10/23","119.0800","59251740.0000","116.7000","119.2280","116.3300"
"2015/10/22","115.5000","41430660.0000","114.3300","115.5000","114.1000"
"2015/10/21","113.7600","42276880.0000","114.0000","115.5800","113.7000"
"2015/10/20","113.7700","48929200.0000","111.3400","114.1700","110.8200"
"2015/10/19","111.7300","29723750.0000","110.8000","111.7500","110.1100"
"2015/10/16","111.0400","38794930.0000","111.7800","112.0000","110.5300"
"2015/10/15","111.8600","37622200.0000","110.9300","112.1000","110.4900"
"2015/10/14","110.2100","44434220.0000","111.2900","111.5200","109.5600"
"2015/10/13","111.7900","32970790.0000","110.8200","112.4500","110.6800"
"2015/10/12","111.6000","30386830.0000","112.7300","112.7500","111.4400"
"2015/10/09","112.1200","52720620.0000","110.0000","112.2800","109.4900"
"2015/10/08","109.5000","61747260.0000","110.1900","110.1900","108.2100"
"2015/10/07","110.7800","46717770.0000","111.7400","111.7700","109.4100"
"2015/10/06","111.3100","48702200.0000","110.6300","111.7400","109.7650"
"2015/10/05","110.7800","52033100.0000","109.8800","111.3698","109.0700"
"2015/10/02","110.3800","57774940.0000","108.0100","111.0136","107.5500"
"2015/10/01","109.5800","63849470.0000","109.0700","109.6200","107.3100"
"2015/09/30","110.3000","66300930.0000","110.1700","111.5400","108.7300"
"2015/09/29","109.0600","73230280.0000","112.8300","113.5100","107.8600"
